	A_1_A	A_2_A	A_3_A	A_4_A	A_5_A	A_6_A	A4_1_A	A4_2_A	A4_3_A	A4_4_A	A4_5_A	A4_6_A	A6_1_A	A6_2_A	A6_3_A	A6_4_A	A6_5_A	A6_6_A	AM_1_A	AM_2_A	AM_3_A	AM_4_A	AM_5_A	AM_6_A	W_1_A	W_2_A	W_3_A	W_4_A	W_5_A	W_6_A
OTU_11209	1730	1443	6128	1757	3912	581	10	54	23	31	39	16	1	0	0	0	0	1	0	0	1	0	0	1	5220	6458	4195	8505	3719	10955
OTU_10501	3572	1353	2545	1910	4335	1613	446	449	372	559	360	979	246	223	169	175	286	182	499	746	460	246	468	421	11895	5040	5862	3363	1233	2566
OTU_3475	171	237	445	95	186	176	116	90	70	32	14	83	7	19	14	12	25	23	12	34	38	7	6	30	245	26198	412	876	24080	173
OTU_10885	2011	2575	1129	2233	766	1042	1906	2079	1993	2184	1988	1628	1701	1738	1652	1811	1520	1639	1660	1630	1742	1664	1644	1643	398	407	1038	781	428	652
OTU_8089	754	967	2451	2102	1645	1497	1913	2214	1507	1198	136	2780	317	597	634	464	748	644	410	1031	1194	57	529	823	247	3641	3872	4721	4180	3786
OTU_10337	3418	3313	3351	4174	5892	2818	401	359	357	431	181	611	394	348	187	181	320	268	516	711	548	269	400	455	4209	3697	2241	1826	3476	2048
OTU_14547	62	26	7	24	20	44	8182	4924	11369	1510	245	9766	482	509	676	571	667	637	562	432	606	284	678	523	47	237	58	82	28	115
OTU_11200	1570	1303	5189	1651	3439	549	11	43	26	26	43	5	4	0	2	2	3	0	2	4	1	2	1	0	4589	5633	3677	6842	3346	9227
OTU_12034	1609	978	965	3529	2622	2926	6	3	3	4	1	7	0	1	0	1	0	1	1	6	8	0	1	2	360	2378	11743	3166	10368	4884
OTU_11106	2960	1885	991	3843	964	2347	1405	2802	2631	3155	1492	1470	1013	758	752	780	677	705	600	687	645	698	592	641	2684	1474	661	563	1309	419
OTU_10905	1647	2588	534	1491	244	416	1881	2111	2145	2228	2160	1602	1520	1735	1463	1556	1414	1462	1488	1516	1457	1667	1444	1480	81	277	772	490	197	349
OTU_10862	747	1148	320	618	231	301	2078	2269	2424	2598	2396	1801	1596	1863	1535	1678	1446	1480	1665	1708	1635	1930	1637	1675	83	301	845	511	217	384
OTU_14536	132	20	8	35	38	172	1166	710	783	664	745	1019	2293	2374	3202	2716	3159	3100	2733	2087	2869	1382	2959	2583	48	14	167	23	34	69
OTU_10741	1648	1393	1681	2287	2099	2948	1776	339	356	1019	203	375	515	536	744	540	649	735	410	495	529	214	442	431	1536	2011	4370	1672	3564	3989
OTU_10950	252	248	210	193	272	286	2003	2341	2381	2512	2305	1775	1661	1863	1541	1669	1523	1589	1628	1679	1575	1802	1528	1611	96	283	809	495	214	337
OTU_14513	163	91	18	25	171	164	1134	376	421	413	328	4505	2095	2232	3051	2558	3001	2949	1969	1589	2265	1945	2109	1777	47	50	179	152	123	312
OTU_10436	4113	3826	2512	5429	7294	2865	67	129	156	86	62	75	360	163	76	102	198	245	319	495	276	157	200	187	2307	1476	1432	1316	2033	1410
OTU_8191	1548	1545	1927	1617	1599	1600	844	880	678	583	356	1372	506	435	429	418	415	493	544	815	737	311	577	731	2594	3028	2449	3039	3177	2664
OTU_11670	2330	1014	2777	1814	3505	4614	98	213	93	284	103	32	291	299	104	172	167	177	53	58	56	38	51	61	8260	3330	2995	1480	623	1944
OTU_7938	1745	1098	1238	3692	888	772	994	2097	1034	709	182	1328	122	260	321	337	286	203	1032	1674	1529	492	673	952	2602	816	346	951	4478	2064
OTU_10065	1543	2803	3891	1144	1498	1682	273	755	841	506	29	747	137	138	1460	105	79	111	39	303	510	17	251	1830	191	2241	1468	2924	3209	3207
OTU_8262	442	382	663	428	804	278	370	551	652	390	906	1474	596	980	544	855	1307	1079	2242	1533	2358	455	1676	2362	552	1905	503	768	2394	684
OTU_12741	369	208	257	308	315	1892	1098	607	797	811	756	1892	1157	1262	1558	1393	1443	1538	1565	1292	1600	830	1688	1531	312	1199	358	307	558	678
OTU_10998	516	597	282	473	292	311	1487	1718	1815	1900	1739	1332	1142	1320	1131	1260	1035	1096	1153	1290	1189	1332	1169	1271	185	327	664	421	246	378
OTU_11780	1085	604	4835	1283	5950	9412	104	43	18	60	29	2	612	622	160	347	366	323	10	1	1	0	1	12	2207	336	1138	1257	162	497
OTU_20	2019	1931	2750	49	262	1484	819	433	529	468	560	990	632	219	76	335	364	207	894	625	850	512	884	1101	4581	1003	374	550	3373	1454
OTU_12032	1097	644	619	2422	1808	2021	1	1	2	1	1	7	0	1	0	0	1	1	1	8	6	0	2	2	233	1538	7811	2122	7181	3326
