	A_1_A	A_2_A	A_3_A	A_4_A	A_5_A	A_6_A	A4_1_A	A4_2_A	A4_3_A	A4_4_A	A4_5_A	A4_6_A	A6_1_A	A6_2_A	A6_3_A	A6_4_A	A6_5_A	A6_6_A	AM_1_A	AM_2_A	AM_3_A	AM_4_A	AM_5_A	AM_6_A	W_1_A	W_2_A	W_3_A	W_4_A	W_5_A	W_6_A
OTU_12555	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	4
OTU_14751	1	0	2	1	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
OTU_1390	2	1	0	1	0	0	0	0	1	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
OTU_12109	2	0	2	1	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1
OTU_12322	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1
OTU_4416	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	5	0
OTU_2139	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	1	1	1	1	1	1	2	0	2	0	0	1	3
OTU_2699	0	0	0	0	0	0	3	1	2	0	4	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0
OTU_532	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	1	0	1	2	2	1	1	0
OTU_12865	0	0	0	0	0	0	1	0	1	0	0	8	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
OTU_15082	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	2	1
OTU_12988	0	0	0	0	0	0	0	1	0	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_7522	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	1
OTU_1048	0	1	1	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0	0	0	0	3	0	0	4	0	0	0	0	0
OTU_5372	0	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1
OTU_6183	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0
OTU_5722	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	3
OTU_14379	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0
OTU_2933	1	1	1	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	2	3
OTU_13563	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	3
OTU_12334	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	2	2
OTU_3429	0	0	0	1	0	0	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0
OTU_7423	1	1	2	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2
OTU_1555	2	0	4	0	0	0	0	0	0	0	1	0	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU_711	0	0	0	0	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	1
OTU_5514	2	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	2
OTU_12803	0	0	0	0	0	1	1	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	2	0
OTU_10964	0	0	0	1	0	0	0	3	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	3	2
OTU_13516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	1	0
OTU_10445	1	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0
OTU_618	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	2	1
OTU_10251	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	5	0	1	0	2
OTU_5887	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	9	1	0	0	2	0	0	0	0
OTU_14186	1	1	0	0	5	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2
OTU_5275	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	1
OTU_2418	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	6	0	1	0	0	0	0	0	0
OTU_3778	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	6	0
OTU_12984	1	0	2	0	1	2	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	2	2	1	2	0
OTU_12240	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	7	0	1	0	1
OTU_13573	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	6	3	0	0	3
OTU_8060	0	0	1	0	1	1	1	0	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2
OTU_8647	0	7	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1
OTU_2869	0	4	0	0	1	0	0	0	3	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_535	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	1	0	4
OTU_2718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	7	0	2	0	0	1	0	0	0
OTU_13606	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	1
OTU_12568	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	1	2
OTU_11954	0	1	1	1	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	1
OTU_12071	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	3	0	0
OTU_13697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	0	3	2	0	3	0
OTU_4763	0	0	0	0	0	0	4	3	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_782	0	3	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	2
OTU_2155	0	1	0	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15021	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	1	2	0
OTU_6133	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	0	2	0	0	0	0	0	0
OTU_13839	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	1
OTU_956	0	3	3	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	1	0	0	1	0	3	0	0	0
OTU_2382	1	0	0	0	0	0	2	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU_1465	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	1	0	2
OTU_12588	1	1	2	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	3
OTU_1868	2	1	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	4	0	0	1	0	0
OTU_5638	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	6
OTU_367	3	0	0	0	0	0	1	0	0	0	0	6	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_8886	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	2	0	1	1
OTU_14249	0	1	0	0	0	0	2	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_2105	0	1	0	0	0	0	2	1	1	0	1	1	1	0	0	0	0	0	1	1	0	2	1	2	0	0	0	1	0	0
OTU_1808	0	0	0	3	0	0	1	1	1	2	2	0	1	1	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0
OTU_1960	1	0	0	0	0	0	1	1	0	1	2	1	4	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
OTU_10476	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	5	0	1	0
OTU_1959	0	0	0	0	0	2	1	0	0	0	1	2	0	1	0	0	0	0	1	0	0	4	0	0	1	2	0	0	0	0
OTU_13251	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_3792	0	0	1	0	0	0	2	1	1	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1
OTU_13696	0	0	0	0	0	0	3	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4
OTU_9588	1	0	1	3	1	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	1
OTU_4704	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	1	4
OTU_8900	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	1	0	0
OTU_4674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	3	2
OTU_2296	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	2	1	2	0	2	0	0	1	0
OTU_3050	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	11	0	0	0	0
OTU_2762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	2	1	0	0	1	0	0	4
OTU_14161	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	5	4
OTU_11910	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	3	1
OTU_5223	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	3	1	1	0	0
OTU_8225	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	7
OTU_5661	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	3
OTU_9467	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	3
OTU_14037	1	4	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	1
OTU_12516	0	3	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0
OTU_2286	0	0	0	1	0	0	2	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_3390	0	1	0	2	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2
OTU_7250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	6	2	3	0	0	0	0	0	0
OTU_669	0	0	0	0	0	0	1	2	3	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2301	0	4	1	0	0	0	1	0	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1
OTU_12640	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	2	1
OTU_13596	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0	0	2
OTU_14820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0
OTU_7210	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	0	0	0	0
OTU_10068	0	2	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	1
OTU_3622	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3
OTU_6346	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0
OTU_13399	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	9	0	0	1	3
OTU_1891	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	2	4	0	0	0	1	2
OTU_9307	0	0	0	3	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	2	1
OTU_11702	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	5	1	1	1	0
OTU_13615	1	2	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2
OTU_5429	4	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1
OTU_6103	0	1	0	8	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0
OTU_13086	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	1	2
OTU_6902	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	5	0	0	0	0
OTU_13222	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	6
OTU_4607	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	2	0
OTU_8206	0	0	1	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2
OTU_5546	2	1	0	1	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2
OTU_9372	0	1	2	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	3
OTU_5424	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	6
OTU_2957	1	0	0	0	0	1	2	1	1	1	1	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1
OTU_1369	2	0	0	0	0	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_6187	4	1	0	0	1	1	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	3	0	0	2	0	0	0	0	0
OTU_13806	0	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	1	1
OTU_13436	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	2	1	0	0	1	0	3	0	0	0	1
OTU_2970	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	1	1	4	1
OTU_12591	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	2	0	2	1
OTU_5588	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	1
OTU_7086	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0
OTU_11558	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	3
OTU_8946	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1
OTU_12205	0	0	0	0	0	0	1	2	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0
OTU_6507	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	2	1	1
OTU_5416	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	8	0	0	1	0
OTU_5604	0	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	4	1
OTU_13800	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	4	0
OTU_12818	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	2	7
OTU_10275	5	3	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_13033	0	0	1	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	4
OTU_5413	0	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	2
OTU_6064	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	7	0
OTU_11700	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	2	0	0	0
OTU_10312	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	1
OTU_14759	0	1	3	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	2	0	1
OTU_10333	0	0	1	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	3	1	0	3	0
OTU_14213	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	2	1	1
OTU_4613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	1	2	2
OTU_5433	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	1	0	0
OTU_10285	1	2	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	1	0
OTU_9104	0	0	2	0	1	2	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	3	1	0
OTU_11192	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	3	1	4	1	1
OTU_10243	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	4	0	0	0	2	3
OTU_9610	0	2	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0
OTU_7834	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	1	0	1	5
OTU_8127	0	0	0	0	0	0	0	0	4	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1
OTU_11717	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	2	1	0	2	0
OTU_5569	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	3	2
OTU_4714	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	5	0	2	0
OTU_8970	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_6912	0	0	3	1	1	0	1	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1
OTU_5579	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	1	0	2
OTU_7385	0	1	1	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1
OTU_1844	0	0	0	0	0	0	1	0	2	1	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU_14821	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	8	0
OTU_1126	4	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	1	1	0	0	0	0
OTU_7299	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
OTU_1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	6	0	3	0	0	0	0	0	0
OTU_6815	0	0	2	0	3	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1
OTU_4999	0	1	1	0	0	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0
OTU_8560	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	1
OTU_9843	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	2	0	1
OTU_2099	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	9	0	0	1	1	0
OTU_12193	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	3	0	0	1	0	1	2	0	1	0
OTU_6289	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	3	1	2	0	0	0	0	0	0
OTU_655	1	0	1	0	1	0	1	0	0	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1
OTU_4026	1	1	0	2	0	0	1	1	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
OTU_13281	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	6	1
OTU_13124	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	1
OTU_9946	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	3	0	0	2	1	0	0	0	1	1	0	0	1	1
OTU_12671	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	5	0	7	0	0	0	0	0	0	0	0	0	0
OTU_9847	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	3	0	0	1	0	1	1	1	0	1	0	0	0	1
OTU_10539	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	1
OTU_1090	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0
OTU_8832	0	0	2	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	4
OTU_15002	0	0	1	1	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1
OTU_108	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	1	4
OTU_11588	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	6	0	0	1	0
OTU_4585	0	0	0	0	0	0	3	2	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	5
OTU_5245	0	1	0	2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	1
OTU_3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	3	3	1	0	0	0	0
OTU_745	1	1	1	0	1	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1
OTU_12595	4	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0
OTU_8967	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0
OTU_4003	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	3	2
OTU_992	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	2	1	0	1	1	2
OTU_7291	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	1	0	0	0
OTU_368	1	1	0	1	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1
OTU_12666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1
OTU_3561	0	1	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1
OTU_12636	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	1	0	0	0
OTU_6390	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	6	0	0	0	0
OTU_5923	2	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	2	0	0	0	0
OTU_5248	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
OTU_2694	0	0	0	0	0	0	1	2	2	1	5	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
OTU_14426	0	0	1	2	0	0	0	0	3	0	0	0	0	1	0	0	0	4	0	0	2	0	2	0	0	0	0	1	0	0
OTU_7766	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0
OTU_7448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	3	0	0
OTU_6738	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0
OTU_10585	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	1
OTU_12351	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	1	1
OTU_13581	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	2	0	0	0	3
